Startup_ID,Startup_Name,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin
ST001,Razorpay,~$742 Mn,$375 Mn,Series F,Dec 2021 (Extensions in 2024),11,Seed → Series A → B → C → D → E → F,"Peak XV, Tiger Global, Lightspeed, Y Combinator, Matrix Partners, TCV","TCV, Lone Pine Capital",~$7.5 Bn,"₹2,501 Cr (FY24 audited)",Profit: ₹34 Cr (FY24),~38%
ST002,CRED,~$1.02 Bn,$140 Mn,Series F,June 2022 (Internal extensions to 2024),9,Seed → Series A → B → C → D → E → F,"Peak XV, Tiger Global, Falcon Edge, Dragoneer, Sofina, DST Global",GIC (Singapore),~$6.4 Bn,"₹2,473 Cr (FY24 audited)","Loss: -₹1,644 Cr (FY24)",~45%
ST003,Groww,~$393 Mn,$251 Mn,Series E,Oct-21,8,Seed → Series A → B → C → D → E,"Iconiq Growth, Tiger Global, Alkeon Capital, Ribbit Capital, Peak XV",Iconiq Growth,~$3 Bn,"₹2,900+ Cr (FY24 audited)",Profit: ₹435 Cr (FY24),~52%
ST004,Pine Labs,~$1.6 Bn,~$470 Mn (equivalent),Public (IPO),Nov-25,15,Private Rounds → Series A to H → Pre-IPO → IPO Listing,"Peak XV, Mastercard, Actis, Temasek, PayPal, Alpha Wave, Invesco",Public Markets,~$5.5 Bn,"₹1,780 Cr (FY24)",Loss: -₹328 Cr (FY24),~58%
ST005,Open,~$140 Mn,$50 Mn,Series D,May-22,7,Seed → Series A → B → C → D,"IIFL Finance, Tiger Global, Temasek, 3one4 Capital, Vertex Ventures",IIFL Finance,~$1 Bn,₹71 Cr (FY24 audited),Loss: -₹180 Cr (FY24),~25%
ST006,Jupiter,~$165 Mn,$86 Mn,Series C,Dec 2021 (Debt extensions in 2023),6,Seed → Series A → B → C,"Tiger Global, QED Investors, Matrix Partners, Peak XV, Nubank","Tiger Global, QED Investors",~$710 Mn,₹40 Cr (FY24 audited),Loss: -₹330 Cr (FY24),~30%
ST007,Fi Money,~$135 Mn,$45 Mn,Series C,Jul-22,5,Seed → Series A → B → C,"Alpha Wave Global, Temasek, Peak XV, Stellaris Venture Partners",Alpha Wave Global,~$520 Mn,₹103 Cr (FY24 audited),Loss: -₹270 Cr (FY24),~32%
ST008,MobiKwik,~$275 Mn,₹530 Cr ($64 Mn net),Public (IPO),Dec 2024 / Listed to 2026,12,Seed → Private Rounds → Public IPO Listing,"Peak XV, Bajaj Finance, Tree Line Asia, Abu Dhabi Investment Authority",Public Markets,~$183 Mn,"₹1,119 Cr (FY26 Publicly Audited)",Loss: Halved to -₹62 Cr (FY26) / Q4 profitable,~39%
ST009,Blinkit,~$1.0 Bn,Acquired,M&A (By Zomato),Aug 2022 (Fully Integrated),9,Seed → Series A to G → Acquisition,"SoftBank, Tiger Global, Zomato, Blink Digital",Zomato Ltd,Integrated into Zomato,"₹37,779 Cr (FY26 Zomato Segment)",Profit: Positive segment EBITDA of ₹430 Cr (FY26),~22%
ST010,Zepto,~$1.6 Bn,$340 Mn,Series G,Aug 2024 (Follow-on debt in 2025),8,Seed → Series A → B → C → D → E → F → G,"General Catalyst, StepStone Group, Lightspeed, Nexus Venture, Glade Brook",General Catalyst,~$5.0 Bn,"₹22,624 Cr (FY26 Updated DRHP)","Loss: -₹5,905 Cr (FY26) / Scaling dark store network",~18%
ST011,Swiggy Instamart,~$4.6 Bn (Parent Group),"~$1.2 Bn (₹10,000 Cr)",Public (IPO),Nov 2024 / Listed to 2026,16,Seed → Series A to K → Public Listing,"Prosus, SoftBank, Accel, Elevation Capital, Public Shareholders",Public Markets / Book Running Managers,~$11.2 Bn (Group),"₹3,859 Cr (FY26 - Instamart only)","Loss: -₹3,063 Cr (FY26 - Instamart segment)",~25%
ST012,BigBasket,~$1.3 Bn,$200 Mn,Corporate Infusion,Dec 2023 (Internal debt to 2025),12,Seed → Series A to E → Acquisition by Tata → Growth Rounds,"Tata Digital, Alibaba Group, Helion Ventures, Bessemer Venture Partners",Tata Digital,~$4.5 Bn,"₹9,866.7 Cr (FY25 Consolidated)","Loss: -₹2,006.8 Cr (FY25)",~28%
ST013,BB Now,Part of BigBasket,Funded internally,Internal Allocation,Continuous (Fully integrated),0,Fully integrated into BigBasket,Tata Digital (via Innovative Retail Concepts),Tata Digital,Integrated into BigBasket,Included in BigBasket's Consolidated numbers,Operational cost factored in group expansion,~24%
ST014,Flipkart Minutes,Part of Flipkart,Funded internally,Corporate Allocation,Ongoing (Pivoted explicitly in 2024/25),0,Fully integrated into Flipkart,"Walmart, Tencent, Tiger Global (via Parent Flipkart)",Walmart Inc.,Integrated into Flipkart,Group-level reporting,Heavily capital subsidized by parent,~20%
ST015,Meesho,~$1.2 Bn,$275 Mn,Series H,May 2024 (Follow-on blocks to 2025),12,Seed → Series A to H,"SoftBank, Prosus Ventures, Elevation Capital, Peak XV, Meta, Fidelity",Venture Highway / WestBridge Capital,~$4.2 Bn,"₹7,615 Cr (FY25 audited)",Profit: ₹125 Cr (FY25),~55%
ST016,Myntra,Part of Flipkart,Funded internally,Subsidiary Allocation,Continuous,0,Acquired by Flipkart → Maintained independent brand ops,"Walmart, Flipkart Group",Walmart Inc.,~$5.0 Bn,"₹4,235 Cr (FY25 audited)",Loss: -₹310 Cr (FY25),~44%
ST017,Nykaa,~$130 Mn (Pre-IPO),Raised via Public Markets,Public (IPO),Nov 2021 (Public reporting up to FY26),9,Seed → Growth Rounds → IPO Listing,"FSN E-Commerce Ventures, TPG Growth, Steadview Capital, Fidelity",Public Markets,~$4.8 Bn,"₹7,450 Cr (FY25) / Run-rate ₹9,600+ Cr (FY26)",Profit: ₹58 Cr (FY25) / Up trend in FY26,~43%
ST018,Brainbees (FirstCry),~$970 Mn,"₹4,193 Cr (~$500 Mn)",Public (IPO),Aug-24,14,Seed → Series A to G → Pre-IPO → Public Listing,"SoftBank Vision Fund, PremjiInvest, Mahindra Partners, TPG, Public Markets",Public Markets,~$3.2 Bn,"₹7,240 Cr (FY25 Consolidated)",Loss: -₹295 Cr (FY25 - narrowed down),~36%
ST019,Lenskart,~$1.8 Bn,"₹7,278 Cr (~$875 Mn)",Public (IPO),Nov-25,16,Private Stages → Series A to J → Mega IPO Listing,"Peak XV Partners, Temasek, Alpha Wave Global, KKR, Public Shareholders",Public Markets,~$7.2 Bn,"₹6,430 Cr (FY25) / Scaling in FY26",Profit: Transformed to net profit track post-listing,~60%
ST020,Pepperfry,~$285 Mn,$23 Mn,Late Stage / Bridge,Sept 2023 (Internal adjustments in 2025),11,Seed → Series A to F → Debt/Bridge Rounds,"Norwest Venture Partners, Broadview Ventures, Goldman Sachs, Pidilite",Pidilite Industries,~$310 Mn,₹207 Cr (FY24 audited),Loss: -₹122 Cr (FY24),~48%
ST021,Physics Wallah,~$310 Mn,$210 Mn,Series B,Sept 2024 (Follow-on debt 2025),3,Series A → Series B,"Hornbill Capital, Lightspeed India, GSV Ventures, WestBridge",Hornbill Capital,~$2.8 Bn,"₹2,450 Cr (FY25)",Profit: ₹42 Cr (FY25),~50%
ST022,Unacademy,~$440 Mn,$50 Mn,Secondary/Debt,Late 2023 (Internal restructuring),12,Seed → Series A to H,"SoftBank, General Atlantic, Tiger Global, Facebook, Blume Ventures",Temasek,~$1.9 Bn,₹980 Cr (FY25),Loss: -₹190 Cr (FY25 - narrowed),~60%
ST023,upGrad,~$365 Mn,$60 Mn,Corporate/Debt,Out-performance Round 2024/25,8,Growth Rounds → Debt Tranches,"Temasek, ETS Strategic Capital, Kaizenvest, IIFL",Temasek,~$2.2 Bn,"₹1,530 Cr (FY25)",Loss: -₹380 Cr (FY25 - narrowed),~55%
